"","NAME","LOCATION","YEAR","TOTALAREA"
"69","Chennai Marina Mall
","Chennai
","2019
","550,000 sq ft (51,000 m2)
"
"70","City Centre, Mangalore
","Mangaluru
","2010
","540,000 sq ft (50,000 m2)
"
"71","Mall of Amritsar (Formerly Alpha One Mall, Amritsar)
","Amritsar
","2010
","535,241 sq ft (49,725.5 m2)
"
"72","Spencer Plaza
","Chennai
","1863
","530,000 sq ft (49,000 m2)
"
"73","DLF Avenue (Formerly DLF Place)
","Delhi
","2009
","519,596 sq ft (48,272.0 m2)
"
"74","MGF Metropolitan Mall, Gurgaon
","Gurgaon
","1998
","500,000 sq ft (46,000 m2)
"
"75","Inorbit Mall, Malad
","Mumbai
","2004
","500,000 sq ft (46,000 m2)
"
"76","Pacific Mall, Ghaziabad
","Ghaziabad
","2005
","500,000 sq ft (46,000 m2)
"
"77","Crown Interiorz Mall
","Faridabad
","2007
","500,000 sq ft (46,000 m2)
"
"78","City Centre, New Town (City Centre 2)
","New Town, Kolkata
","2009
","500,000 sq ft (46,000 m2)
"
"79","Axis Mall
","New Town, Kolkata
","2010
","500,000 sq ft (46,000 m2)
"
"80","City Centre, Siliguri
","Siliguri
","2010
","500,000 sq ft (46,000 m2)
"
"81","MSX Mall
","Greater Noida
","2013
","500,000 sq ft (46,000 m2)
"
"82","Unity One, Janakpuri
","Delhi
","2015
","500,000 sq ft (46,000 m2)
"
"83","Lodha Xperia Mall
","Dombivali
","2016
","500,000 sq ft (46,000 m2)
"
"84","Prozone Mall (Coimbatore)
","Coimbatore
","2017
","500,000 sq ft (46,000 m2)
"
"85","Texvalley
","Erode
","2014
","1,600,000 sq ft (150,000 m2)
"
